epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,514.786,0.68117,0.47028,1.05291,0.96888,0.93306,0.97671,0.82338,0.62304,0.36777,0.97797,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,532.182,0.661,0.45239,1.0377,0.97876,0.95687,0.98043,0.82745,0.60816,0.36381,0.98508,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,549.646,0.68428,0.45913,1.04181,0.95612,0.96351,0.98405,0.83193,0.6169,0.35857,0.98955,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,567.034,0.683,0.46776,1.06143,0.96602,0.96429,0.98573,0.8289,0.6126,0.35002,1.00646,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,584.249,0.67806,0.46888,1.04809,0.96556,0.94667,0.98056,0.82784,0.60468,0.36179,1.01716,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,601.449,0.64391,0.44459,1.04936,0.97852,0.94442,0.98466,0.83101,0.60872,0.34642,1.01858,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,618.683,0.68797,0.46803,1.06334,0.97932,0.92916,0.98225,0.83844,0.59881,0.34795,1.00357,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,636.008,0.66659,0.46184,1.04993,0.97468,0.93723,0.9827,0.8351,0.59975,0.3462,0.99191,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,653.163,0.65331,0.45038,1.04656,0.9633,0.9337,0.9693,0.83404,0.58686,0.35175,1.00567,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,670.301,0.655,0.44294,1.04652,0.97046,0.94674,0.9801,0.83211,0.58443,0.34394,0.99969,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,687.453,0.65295,0.44612,1.04078,0.97701,0.956,0.98526,0.83096,0.60726,0.34273,1.00058,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,704.618,0.65948,0.45091,1.04216,0.98215,0.92667,0.97893,0.83056,0.58653,0.35445,0.98894,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,721.81,0.66113,0.44421,1.03905,0.96986,0.92733,0.98012,0.83384,0.5864,0.35214,0.99415,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,739.013,0.64174,0.43547,1.02151,0.97403,0.94506,0.98296,0.84027,0.59048,0.33639,0.99142,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,756.312,0.63127,0.44678,1.01171,0.98112,0.9504,0.98306,0.83337,0.60425,0.33871,0.98124,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,773.495,0.6333,0.43909,1.02312,0.96812,0.95007,0.97891,0.82281,0.59208,0.3313,0.98851,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,790.71,0.61731,0.42471,1.02149,0.96431,0.9435,0.97952,0.82795,0.58815,0.34335,0.99017,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,807.91,0.63506,0.41489,1.03073,0.97998,0.92749,0.97613,0.83716,0.58739,0.3375,0.99705,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
