epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
128,2211.31,0.45486,0.30035,0.93719,0.99197,0.94569,0.98752,0.8619,0.54704,0.26704,0.97611,0.0262281,0.0087427,0.0262281,0.0087427,0.0262281,0.0087427,0.0262281,0.0087427
129,2228.82,0.4711,0.3224,0.94238,0.98912,0.91937,0.98349,0.85033,0.55046,0.28338,0.99555,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
130,2246.12,0.45991,0.30792,0.93449,0.98255,0.93798,0.98387,0.86008,0.53291,0.28928,0.98065,0.0261687,0.0087229,0.0261687,0.0087229,0.0261687,0.0087229,0.0261687,0.0087229
131,2263.53,0.46242,0.30969,0.94498,0.98206,0.94813,0.9822,0.85091,0.54148,0.28348,0.98881,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
132,2280.92,0.44589,0.30535,0.93595,0.98313,0.93713,0.97901,0.85451,0.53488,0.30773,0.9896,0.0261093,0.0087031,0.0261093,0.0087031,0.0261093,0.0087031,0.0261093,0.0087031
133,2298.34,0.45734,0.30625,0.92919,0.97602,0.94991,0.98515,0.85924,0.52077,0.28217,0.96084,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
134,2315.9,0.46539,0.31366,0.94359,0.97104,0.95579,0.97703,0.84901,0.53836,0.27579,0.96076,0.0260499,0.0086833,0.0260499,0.0086833,0.0260499,0.0086833,0.0260499,0.0086833
135,2333.22,0.45262,0.29138,0.92585,0.97107,0.95805,0.98134,0.84706,0.54407,0.28206,0.96404,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
136,2350.6,0.46283,0.29649,0.93224,0.96956,0.96325,0.98196,0.8568,0.52275,0.28226,0.95288,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
137,2368.33,0.4432,0.2985,0.92619,0.97455,0.9402,0.9811,0.85249,0.53549,0.28377,0.96812,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
138,2385.78,0.43739,0.3051,0.92994,0.99242,0.92665,0.98077,0.85719,0.5283,0.28435,0.97503,0.0259311,0.0086437,0.0259311,0.0086437,0.0259311,0.0086437,0.0259311,0.0086437
139,2403.38,0.45099,0.295,0.93066,0.99589,0.9387,0.98073,0.85282,0.5285,0.272,0.97252,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
140,2421.08,0.43959,0.29695,0.93038,0.9936,0.93949,0.98522,0.86219,0.52626,0.26727,0.97272,0.0258717,0.0086239,0.0258717,0.0086239,0.0258717,0.0086239,0.0258717,0.0086239
